id,Class,Usage
1,Kirmizi_Pistachio,Private
2,Siit_Pistachio,Private
3,Kirmizi_Pistachio,Private
4,Kirmizi_Pistachio,Private
5,Kirmizi_Pistachio,Private
6,Kirmizi_Pistachio,Private
7,Kirmizi_Pistachio,Private
8,Kirmizi_Pistachio,Private
9,Siit_Pistachio,Private
10,Kirmizi_Pistachio,Private
11,Kirmizi_Pistachio,Private
12,Kirmizi_Pistachio,Private
13,Siit_Pistachio,Private
14,Kirmizi_Pistachio,Private
15,Kirmizi_Pistachio,Private
16,Kirmizi_Pistachio,Private
17,Kirmizi_Pistachio,Private
18,Kirmizi_Pistachio,Private
19,Kirmizi_Pistachio,Private
20,Siit_Pistachio,Private
21,Kirmizi_Pistachio,Private
22,Kirmizi_Pistachio,Private
23,Siit_Pistachio,Private
24,Kirmizi_Pistachio,Private
25,Kirmizi_Pistachio,Private
26,Kirmizi_Pistachio,Private
27,Siit_Pistachio,Private
28,Kirmizi_Pistachio,Private
29,Kirmizi_Pistachio,Private
30,Kirmizi_Pistachio,Private
31,Kirmizi_Pistachio,Private
32,Siit_Pistachio,Private
33,Siit_Pistachio,Private
34,Kirmizi_Pistachio,Private
35,Siit_Pistachio,Private
36,Kirmizi_Pistachio,Private
37,Kirmizi_Pistachio,Private
38,Siit_Pistachio,Private
39,Siit_Pistachio,Private
40,Kirmizi_Pistachio,Private
41,Kirmizi_Pistachio,Private
42,Kirmizi_Pistachio,Private
43,Siit_Pistachio,Private
44,Kirmizi_Pistachio,Private
45,Kirmizi_Pistachio,Private
46,Kirmizi_Pistachio,Private
47,Kirmizi_Pistachio,Private
48,Kirmizi_Pistachio,Private
49,Kirmizi_Pistachio,Private
50,Kirmizi_Pistachio,Private
51,Siit_Pistachio,Private
52,Kirmizi_Pistachio,Private
53,Siit_Pistachio,Private
54,Siit_Pistachio,Private
55,Kirmizi_Pistachio,Private
56,Kirmizi_Pistachio,Private
57,Kirmizi_Pistachio,Private
58,Siit_Pistachio,Private
59,Kirmizi_Pistachio,Private
60,Siit_Pistachio,Private
61,Kirmizi_Pistachio,Private
62,Siit_Pistachio,Private
63,Siit_Pistachio,Private
64,Kirmizi_Pistachio,Private
65,Siit_Pistachio,Private
66,Kirmizi_Pistachio,Private
67,Siit_Pistachio,Private
68,Kirmizi_Pistachio,Private
69,Siit_Pistachio,Private
70,Siit_Pistachio,Private
71,Siit_Pistachio,Private
72,Siit_Pistachio,Private
73,Siit_Pistachio,Private
74,Siit_Pistachio,Private
75,Kirmizi_Pistachio,Private
76,Siit_Pistachio,Private
77,Kirmizi_Pistachio,Private
78,Siit_Pistachio,Private
79,Kirmizi_Pistachio,Private
80,Kirmizi_Pistachio,Private
81,Kirmizi_Pistachio,Private
82,Kirmizi_Pistachio,Private
83,Kirmizi_Pistachio,Private
84,Kirmizi_Pistachio,Private
85,Kirmizi_Pistachio,Private
86,Kirmizi_Pistachio,Private
87,Kirmizi_Pistachio,Private
88,Kirmizi_Pistachio,Private
89,Kirmizi_Pistachio,Private
90,Siit_Pistachio,Private
91,Kirmizi_Pistachio,Private
92,Kirmizi_Pistachio,Private
93,Kirmizi_Pistachio,Private
94,Siit_Pistachio,Private
95,Kirmizi_Pistachio,Private
96,Kirmizi_Pistachio,Private
97,Kirmizi_Pistachio,Private
98,Kirmizi_Pistachio,Private
99,Siit_Pistachio,Private
100,Kirmizi_Pistachio,Private
101,Kirmizi_Pistachio,Private
102,Siit_Pistachio,Private
103,Siit_Pistachio,Private
104,Kirmizi_Pistachio,Private
105,Siit_Pistachio,Private
106,Kirmizi_Pistachio,Private
107,Siit_Pistachio,Private
108,Kirmizi_Pistachio,Private
109,Kirmizi_Pistachio,Private
110,Siit_Pistachio,Private
111,Siit_Pistachio,Private
112,Siit_Pistachio,Private
113,Siit_Pistachio,Private
114,Siit_Pistachio,Private
115,Kirmizi_Pistachio,Private
116,Siit_Pistachio,Private
117,Siit_Pistachio,Private
118,Siit_Pistachio,Private
119,Siit_Pistachio,Private
120,Kirmizi_Pistachio,Private
121,Kirmizi_Pistachio,Private
122,Kirmizi_Pistachio,Private
123,Kirmizi_Pistachio,Private
124,Kirmizi_Pistachio,Private
125,Kirmizi_Pistachio,Private
126,Siit_Pistachio,Private
127,Kirmizi_Pistachio,Private
128,Kirmizi_Pistachio,Private
129,Kirmizi_Pistachio,Private
130,Siit_Pistachio,Private
131,Kirmizi_Pistachio,Private
132,Kirmizi_Pistachio,Private
133,Kirmizi_Pistachio,Private
134,Siit_Pistachio,Private
135,Siit_Pistachio,Private
136,Siit_Pistachio,Private
137,Siit_Pistachio,Private
138,Kirmizi_Pistachio,Private
139,Kirmizi_Pistachio,Private
140,Siit_Pistachio,Private
141,Siit_Pistachio,Private
142,Siit_Pistachio,Private
143,Kirmizi_Pistachio,Private
144,Siit_Pistachio,Private
145,Kirmizi_Pistachio,Private
146,Siit_Pistachio,Private
147,Siit_Pistachio,Private
148,Siit_Pistachio,Private
149,Kirmizi_Pistachio,Private
150,Siit_Pistachio,Private
151,Kirmizi_Pistachio,Private
152,Siit_Pistachio,Private
153,Kirmizi_Pistachio,Private
154,Siit_Pistachio,Private
155,Kirmizi_Pistachio,Private
156,Siit_Pistachio,Private
157,Kirmizi_Pistachio,Private
158,Kirmizi_Pistachio,Private
159,Kirmizi_Pistachio,Private
160,Kirmizi_Pistachio,Private
161,Siit_Pistachio,Private
162,Kirmizi_Pistachio,Private
163,Siit_Pistachio,Private
164,Siit_Pistachio,Private
165,Kirmizi_Pistachio,Private
166,Siit_Pistachio,Private
167,Kirmizi_Pistachio,Private
168,Kirmizi_Pistachio,Private
169,Kirmizi_Pistachio,Private
170,Siit_Pistachio,Private
171,Kirmizi_Pistachio,Private
172,Kirmizi_Pistachio,Private
173,Kirmizi_Pistachio,Private
174,Kirmizi_Pistachio,Private
175,Siit_Pistachio,Private
176,Kirmizi_Pistachio,Private
177,Kirmizi_Pistachio,Private
178,Kirmizi_Pistachio,Private
179,Kirmizi_Pistachio,Private
180,Siit_Pistachio,Private
181,Siit_Pistachio,Private
182,Kirmizi_Pistachio,Private
183,Kirmizi_Pistachio,Private
184,Kirmizi_Pistachio,Private
185,Kirmizi_Pistachio,Private
186,Kirmizi_Pistachio,Private
187,Siit_Pistachio,Private
188,Siit_Pistachio,Private
189,Kirmizi_Pistachio,Private
190,Siit_Pistachio,Private
191,Siit_Pistachio,Private
192,Siit_Pistachio,Private
193,Kirmizi_Pistachio,Private
194,Kirmizi_Pistachio,Private
195,Siit_Pistachio,Private
196,Siit_Pistachio,Private
197,Kirmizi_Pistachio,Private
198,Kirmizi_Pistachio,Private
199,Siit_Pistachio,Private
200,Kirmizi_Pistachio,Private
201,Siit_Pistachio,Private
202,Siit_Pistachio,Private
203,Kirmizi_Pistachio,Private
204,Kirmizi_Pistachio,Private
205,Kirmizi_Pistachio,Private
206,Siit_Pistachio,Private
207,Siit_Pistachio,Private
208,Kirmizi_Pistachio,Private
209,Siit_Pistachio,Private
210,Kirmizi_Pistachio,Private
211,Kirmizi_Pistachio,Private
212,Siit_Pistachio,Private
213,Siit_Pistachio,Private
214,Kirmizi_Pistachio,Private
215,Siit_Pistachio,Private
216,Siit_Pistachio,Private
217,Kirmizi_Pistachio,Private
218,Kirmizi_Pistachio,Private
219,Siit_Pistachio,Private
220,Siit_Pistachio,Private
221,Kirmizi_Pistachio,Private
222,Siit_Pistachio,Private
223,Kirmizi_Pistachio,Private
224,Kirmizi_Pistachio,Private
225,Kirmizi_Pistachio,Private
226,Kirmizi_Pistachio,Private
227,Kirmizi_Pistachio,Private
228,Kirmizi_Pistachio,Private
229,Siit_Pistachio,Private
230,Kirmizi_Pistachio,Private
231,Kirmizi_Pistachio,Private
232,Kirmizi_Pistachio,Private
233,Siit_Pistachio,Private
234,Siit_Pistachio,Private
235,Siit_Pistachio,Private
236,Kirmizi_Pistachio,Private
237,Kirmizi_Pistachio,Private
238,Siit_Pistachio,Private
239,Kirmizi_Pistachio,Private
240,Siit_Pistachio,Private
241,Kirmizi_Pistachio,Private
242,Siit_Pistachio,Private
243,Kirmizi_Pistachio,Private
244,Siit_Pistachio,Private
245,Kirmizi_Pistachio,Private
246,Kirmizi_Pistachio,Private
247,Siit_Pistachio,Private
248,Siit_Pistachio,Private
249,Siit_Pistachio,Private
250,Siit_Pistachio,Private
251,Kirmizi_Pistachio,Private
252,Siit_Pistachio,Private
253,Siit_Pistachio,Private
254,Kirmizi_Pistachio,Private
255,Siit_Pistachio,Private
256,Kirmizi_Pistachio,Private
257,Kirmizi_Pistachio,Private
258,Siit_Pistachio,Private
259,Kirmizi_Pistachio,Private
260,Kirmizi_Pistachio,Private
261,Siit_Pistachio,Private
262,Kirmizi_Pistachio,Private
263,Siit_Pistachio,Private
264,Kirmizi_Pistachio,Private
265,Siit_Pistachio,Private
266,Kirmizi_Pistachio,Private
267,Siit_Pistachio,Private
268,Kirmizi_Pistachio,Private
269,Kirmizi_Pistachio,Private
270,Kirmizi_Pistachio,Private
271,Siit_Pistachio,Private
272,Kirmizi_Pistachio,Private
273,Siit_Pistachio,Private
274,Kirmizi_Pistachio,Private
275,Siit_Pistachio,Private
276,Kirmizi_Pistachio,Private
277,Kirmizi_Pistachio,Private
278,Kirmizi_Pistachio,Private
279,Kirmizi_Pistachio,Private
280,Siit_Pistachio,Private
281,Siit_Pistachio,Private
282,Siit_Pistachio,Private
283,Siit_Pistachio,Private
284,Siit_Pistachio,Private
285,Kirmizi_Pistachio,Private
286,Siit_Pistachio,Private
287,Kirmizi_Pistachio,Private
288,Kirmizi_Pistachio,Private
289,Siit_Pistachio,Private
290,Siit_Pistachio,Private
291,Siit_Pistachio,Private
292,Siit_Pistachio,Private
293,Siit_Pistachio,Private
294,Kirmizi_Pistachio,Private
295,Kirmizi_Pistachio,Private
296,Siit_Pistachio,Private
297,Siit_Pistachio,Private
298,Kirmizi_Pistachio,Private
299,Kirmizi_Pistachio,Private
300,Siit_Pistachio,Private
301,Siit_Pistachio,Private
302,Siit_Pistachio,Private
303,Siit_Pistachio,Private
304,Kirmizi_Pistachio,Private
305,Kirmizi_Pistachio,Private
306,Siit_Pistachio,Private
307,Siit_Pistachio,Private
308,Kirmizi_Pistachio,Private
309,Kirmizi_Pistachio,Private
310,Kirmizi_Pistachio,Private
311,Kirmizi_Pistachio,Private
312,Siit_Pistachio,Private
313,Kirmizi_Pistachio,Private
314,Kirmizi_Pistachio,Private
315,Siit_Pistachio,Private
316,Siit_Pistachio,Private
317,Kirmizi_Pistachio,Private
318,Siit_Pistachio,Private
319,Kirmizi_Pistachio,Private
320,Siit_Pistachio,Private
321,Siit_Pistachio,Private
322,Siit_Pistachio,Private
323,Siit_Pistachio,Private
324,Kirmizi_Pistachio,Private
325,Siit_Pistachio,Private
326,Kirmizi_Pistachio,Private
327,Kirmizi_Pistachio,Private
328,Kirmizi_Pistachio,Private
329,Kirmizi_Pistachio,Private
330,Siit_Pistachio,Private
331,Siit_Pistachio,Private
332,Siit_Pistachio,Private
333,Siit_Pistachio,Private
334,Kirmizi_Pistachio,Private
335,Kirmizi_Pistachio,Private
336,Siit_Pistachio,Private
337,Siit_Pistachio,Private
338,Kirmizi_Pistachio,Private
339,Kirmizi_Pistachio,Private
340,Kirmizi_Pistachio,Private
341,Siit_Pistachio,Private
342,Siit_Pistachio,Private
343,Siit_Pistachio,Private
344,Kirmizi_Pistachio,Private
345,Kirmizi_Pistachio,Private
346,Kirmizi_Pistachio,Private
347,Siit_Pistachio,Private
348,Siit_Pistachio,Private
349,Siit_Pistachio,Private
350,Kirmizi_Pistachio,Private
351,Kirmizi_Pistachio,Private
352,Kirmizi_Pistachio,Private
353,Siit_Pistachio,Private
354,Kirmizi_Pistachio,Private
355,Siit_Pistachio,Private
356,Kirmizi_Pistachio,Private
357,Siit_Pistachio,Private
358,Siit_Pistachio,Private
359,Siit_Pistachio,Private
360,Siit_Pistachio,Private
361,Siit_Pistachio,Private
362,Kirmizi_Pistachio,Private
363,Kirmizi_Pistachio,Private
364,Siit_Pistachio,Private
365,Kirmizi_Pistachio,Private
366,Kirmizi_Pistachio,Private
367,Siit_Pistachio,Private
368,Kirmizi_Pistachio,Private
369,Siit_Pistachio,Private
370,Siit_Pistachio,Private
371,Kirmizi_Pistachio,Private
372,Kirmizi_Pistachio,Private
373,Siit_Pistachio,Private
374,Kirmizi_Pistachio,Private
375,Kirmizi_Pistachio,Private
376,Kirmizi_Pistachio,Private
377,Kirmizi_Pistachio,Private
378,Kirmizi_Pistachio,Private
379,Kirmizi_Pistachio,Private
380,Kirmizi_Pistachio,Private
381,Kirmizi_Pistachio,Private
382,Siit_Pistachio,Private
383,Kirmizi_Pistachio,Private
384,Kirmizi_Pistachio,Private
385,Kirmizi_Pistachio,Private
386,Siit_Pistachio,Private
387,Siit_Pistachio,Private
388,Kirmizi_Pistachio,Private
389,Kirmizi_Pistachio,Private
390,Kirmizi_Pistachio,Private
391,Siit_Pistachio,Private
392,Kirmizi_Pistachio,Private
393,Kirmizi_Pistachio,Private
394,Siit_Pistachio,Private
395,Siit_Pistachio,Private
396,Siit_Pistachio,Private
397,Siit_Pistachio,Private
398,Kirmizi_Pistachio,Private
399,Kirmizi_Pistachio,Private
400,Siit_Pistachio,Private
401,Siit_Pistachio,Private
402,Siit_Pistachio,Private
403,Kirmizi_Pistachio,Private
404,Kirmizi_Pistachio,Private
405,Kirmizi_Pistachio,Private
406,Kirmizi_Pistachio,Private
407,Siit_Pistachio,Private
408,Kirmizi_Pistachio,Private
409,Kirmizi_Pistachio,Private
410,Kirmizi_Pistachio,Private
411,Kirmizi_Pistachio,Private
412,Kirmizi_Pistachio,Private
413,Siit_Pistachio,Private
414,Siit_Pistachio,Private
415,Siit_Pistachio,Private
416,Siit_Pistachio,Private
417,Kirmizi_Pistachio,Private
418,Kirmizi_Pistachio,Private
419,Siit_Pistachio,Private
420,Siit_Pistachio,Private
421,Kirmizi_Pistachio,Private
422,Kirmizi_Pistachio,Private
423,Kirmizi_Pistachio,Private
424,Siit_Pistachio,Private
425,Siit_Pistachio,Private
426,Kirmizi_Pistachio,Private
427,Siit_Pistachio,Private
428,Kirmizi_Pistachio,Private
429,Kirmizi_Pistachio,Private
430,Kirmizi_Pistachio,Private
431,Siit_Pistachio,Private
432,Kirmizi_Pistachio,Private
433,Kirmizi_Pistachio,Private
434,Kirmizi_Pistachio,Private
435,Siit_Pistachio,Private
436,Kirmizi_Pistachio,Private
437,Kirmizi_Pistachio,Private
438,Siit_Pistachio,Private
439,Siit_Pistachio,Private
440,Siit_Pistachio,Private
441,Kirmizi_Pistachio,Private
442,Siit_Pistachio,Private
443,Kirmizi_Pistachio,Private
444,Kirmizi_Pistachio,Private
445,Kirmizi_Pistachio,Private
446,Siit_Pistachio,Private
447,Kirmizi_Pistachio,Private
448,Siit_Pistachio,Private
449,Siit_Pistachio,Private
450,Kirmizi_Pistachio,Private
451,Kirmizi_Pistachio,Private
452,Kirmizi_Pistachio,Private
453,Siit_Pistachio,Private
454,Kirmizi_Pistachio,Private
455,Siit_Pistachio,Private
456,Kirmizi_Pistachio,Private
457,Kirmizi_Pistachio,Private
458,Kirmizi_Pistachio,Private
459,Siit_Pistachio,Private
460,Kirmizi_Pistachio,Private
461,Siit_Pistachio,Private
462,Kirmizi_Pistachio,Private
463,Kirmizi_Pistachio,Private
464,Siit_Pistachio,Private
465,Kirmizi_Pistachio,Private
466,Siit_Pistachio,Private
467,Kirmizi_Pistachio,Private
468,Siit_Pistachio,Private
469,Siit_Pistachio,Private
470,Siit_Pistachio,Private
471,Siit_Pistachio,Private
472,Kirmizi_Pistachio,Private
473,Kirmizi_Pistachio,Private
474,Kirmizi_Pistachio,Private
475,Kirmizi_Pistachio,Private
476,Kirmizi_Pistachio,Private
477,Kirmizi_Pistachio,Private
478,Siit_Pistachio,Private
479,Kirmizi_Pistachio,Private
480,Siit_Pistachio,Private
481,Siit_Pistachio,Private
482,Kirmizi_Pistachio,Private
483,Siit_Pistachio,Private
484,Kirmizi_Pistachio,Private
485,Kirmizi_Pistachio,Private
486,Siit_Pistachio,Private
487,Kirmizi_Pistachio,Private
488,Siit_Pistachio,Private
489,Kirmizi_Pistachio,Private
490,Siit_Pistachio,Private
491,Siit_Pistachio,Private
492,Siit_Pistachio,Private
493,Siit_Pistachio,Private
494,Kirmizi_Pistachio,Private
495,Siit_Pistachio,Private
496,Kirmizi_Pistachio,Private
497,Kirmizi_Pistachio,Private
498,Kirmizi_Pistachio,Private
499,Siit_Pistachio,Private
500,Kirmizi_Pistachio,Private
501,Kirmizi_Pistachio,Private
502,Kirmizi_Pistachio,Private
503,Siit_Pistachio,Private
504,Siit_Pistachio,Private
505,Kirmizi_Pistachio,Private
506,Kirmizi_Pistachio,Private
507,Siit_Pistachio,Private
508,Kirmizi_Pistachio,Private
509,Kirmizi_Pistachio,Private
510,Siit_Pistachio,Private
511,Siit_Pistachio,Private
512,Kirmizi_Pistachio,Private
513,Kirmizi_Pistachio,Private
514,Kirmizi_Pistachio,Private
515,Siit_Pistachio,Private
516,Kirmizi_Pistachio,Private
517,Kirmizi_Pistachio,Private
518,Siit_Pistachio,Private
519,Siit_Pistachio,Private
520,Kirmizi_Pistachio,Private
521,Kirmizi_Pistachio,Private
522,Siit_Pistachio,Private
523,Kirmizi_Pistachio,Private
524,Kirmizi_Pistachio,Private
525,Siit_Pistachio,Private
526,Siit_Pistachio,Private
527,Kirmizi_Pistachio,Private
528,Kirmizi_Pistachio,Private
529,Kirmizi_Pistachio,Private
530,Kirmizi_Pistachio,Private
531,Siit_Pistachio,Private
532,Kirmizi_Pistachio,Private
533,Siit_Pistachio,Private
534,Kirmizi_Pistachio,Private
535,Siit_Pistachio,Private
536,Siit_Pistachio,Private
537,Siit_Pistachio,Private
538,Kirmizi_Pistachio,Private
539,Kirmizi_Pistachio,Private
540,Siit_Pistachio,Private
541,Kirmizi_Pistachio,Private
542,Siit_Pistachio,Private
543,Kirmizi_Pistachio,Private
544,Kirmizi_Pistachio,Private
545,Kirmizi_Pistachio,Private
546,Kirmizi_Pistachio,Private
547,Siit_Pistachio,Private
548,Kirmizi_Pistachio,Private
549,Kirmizi_Pistachio,Private
550,Kirmizi_Pistachio,Private
551,Kirmizi_Pistachio,Private
552,Kirmizi_Pistachio,Private
553,Kirmizi_Pistachio,Private
554,Kirmizi_Pistachio,Private
555,Kirmizi_Pistachio,Private
556,Kirmizi_Pistachio,Private
557,Kirmizi_Pistachio,Private
558,Kirmizi_Pistachio,Private
559,Siit_Pistachio,Private
560,Kirmizi_Pistachio,Private
561,Kirmizi_Pistachio,Private
562,Siit_Pistachio,Private
563,Kirmizi_Pistachio,Private
564,Kirmizi_Pistachio,Private
565,Siit_Pistachio,Private
566,Siit_Pistachio,Private
567,Kirmizi_Pistachio,Private
568,Kirmizi_Pistachio,Private
569,Siit_Pistachio,Private
570,Kirmizi_Pistachio,Private
571,Siit_Pistachio,Private
572,Siit_Pistachio,Private
573,Siit_Pistachio,Private
574,Siit_Pistachio,Private
575,Kirmizi_Pistachio,Private
576,Kirmizi_Pistachio,Private
577,Siit_Pistachio,Private
578,Siit_Pistachio,Private
579,Siit_Pistachio,Private
580,Siit_Pistachio,Private
581,Siit_Pistachio,Private
582,Siit_Pistachio,Private
583,Siit_Pistachio,Private
584,Siit_Pistachio,Private
585,Kirmizi_Pistachio,Private
586,Siit_Pistachio,Private
587,Siit_Pistachio,Private
588,Kirmizi_Pistachio,Private
589,Kirmizi_Pistachio,Private
590,Kirmizi_Pistachio,Private
591,Siit_Pistachio,Private
592,Siit_Pistachio,Private
593,Kirmizi_Pistachio,Private
594,Siit_Pistachio,Private
595,Siit_Pistachio,Private
596,Siit_Pistachio,Private
597,Siit_Pistachio,Private
598,Siit_Pistachio,Private
599,Kirmizi_Pistachio,Private
600,Kirmizi_Pistachio,Private
601,Kirmizi_Pistachio,Private
602,Kirmizi_Pistachio,Private
603,Siit_Pistachio,Private
604,Kirmizi_Pistachio,Private
605,Kirmizi_Pistachio,Private
606,Kirmizi_Pistachio,Private
607,Kirmizi_Pistachio,Private
608,Siit_Pistachio,Private
609,Kirmizi_Pistachio,Private
610,Kirmizi_Pistachio,Private
611,Kirmizi_Pistachio,Private
612,Kirmizi_Pistachio,Private
613,Kirmizi_Pistachio,Private
614,Kirmizi_Pistachio,Private
615,Kirmizi_Pistachio,Private
616,Kirmizi_Pistachio,Private
617,Siit_Pistachio,Private
618,Kirmizi_Pistachio,Private
619,Kirmizi_Pistachio,Private
620,Kirmizi_Pistachio,Private
621,Kirmizi_Pistachio,Private
622,Kirmizi_Pistachio,Private
623,Kirmizi_Pistachio,Private
624,Kirmizi_Pistachio,Private
625,Kirmizi_Pistachio,Private
626,Siit_Pistachio,Private
627,Kirmizi_Pistachio,Private
628,Kirmizi_Pistachio,Private
629,Kirmizi_Pistachio,Private
630,Kirmizi_Pistachio,Private
631,Kirmizi_Pistachio,Private
632,Kirmizi_Pistachio,Private
633,Siit_Pistachio,Private
634,Kirmizi_Pistachio,Private
635,Kirmizi_Pistachio,Private
636,Siit_Pistachio,Private
637,Siit_Pistachio,Private
638,Kirmizi_Pistachio,Private
639,Kirmizi_Pistachio,Private
640,Siit_Pistachio,Private
641,Kirmizi_Pistachio,Private
642,Siit_Pistachio,Private
643,Kirmizi_Pistachio,Private
644,Siit_Pistachio,Private
645,Siit_Pistachio,Private